CASE;SERIAL;REF;QUESTNNR;MODE;STARTED;TE01_01;TE02_01;TE03_01;TE04_01;TE05_01;TE06_01;NO01_01;NO02_01;NO03_01;NO04_01;NO05_01;NO06_01;SD02_01;SD21_01;SD01;SD14;SD14_11;SD20;SD20_08;V101;V102_01;V103_01;V104_01;ZG01_CP;ZG01x01;ZG01x02;TIME001;TIME002;TIME003;TIME004;TIME005;TIME006;TIME007;TIME_SUM;MAILSENT;LASTDATA;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI;DEG_TIME
197;;;base;interview;01.12.2021 19:11;90;80;75;60;65;60;95;70;75;60;65;70;22;3;1;11;Pflegewissenschaften;;;2;;;;47;1;2;9;9;149;15;140;74;84;480;;01.12.2021 19:19;1;0;7;7;18;7;0.92;5
198;;;base;interview;01.12.2021 19:28;90;100;80;95;40;70;80;80;20;90;10;100;2;5;1;2;;4;;2;;;;48;2;1;8;5;16;15;68;111;59;282;;01.12.2021 19:33;1;0;7;7;14;6;Jan 45;65
200;;;base;interview;01.12.2021 20:42;80;90;30;65;20;80;70;85;66;70;30;50;22;5;2;7;;2;;2;;Ich habe mich persönlich an mein lern und Erinnerungsverhalten erinnert;;50;1;2;3;2;97;11;71;48;74;306;;01.12.2021 20:47;1;0;7;7;10;2;Jan 75;43
202;;;base;interview;01.12.2021 22:49;50;50;80;80;100;100;50;50;80;80;100;80;21;2;2;9;;5;;2;;;;53;1;2;411;31;122;21;85;46;55;345;;01.12.2021 23:02;1;0;7;7;14;6;0.95;14
204;;;base;interview;01.12.2021 22:53;75;50;40;30;25;30;80;75;50;50;40;30;23;5;3;7;;8;Philosophie;2;;Ich habe eine Einschätzung basierend auf bisherigen Erfahrungen abgegeben;;52;1;2;6;4;209;13;93;58;122;505;;01.12.2021 23:01;1;0;7;7;9;2;01. Nov;10
208;;;base;interview;01.12.2021 23:34;60;40;20;20;20;20;70;60;30;30;30;30;23;2;2;4;;;;2;;Hauptsächtlich Intuition. Außerdem glaube ich wenn ich nach einer woche einen Text zu 30% wiedergeben kann, erinner ich mich nach 2 Wochen an das gleiche.;;56;1;2;7;4;4;2;71;97;130;315;;01.12.2021 23:39;1;0;7;7;14;3;Jan 68;109
210;;;base;interview;02.12.2021 01:06;40;80;20;90;5;100;40;80;30;90;5;100;23;9;2;11;Stadtplanung ;;;2;;Ich habe einfach geschätzt :D;;57;2;1;15;10;222;7;42;73;137;506;;02.12.2021 01:15;1;0;7;7;14;3;01. Apr;11
213;;;base;interview;02.12.2021 07:48;75;80;25;40;20;50;90;80;50;70;30;70;23;3;1;3;;;;1;Wenn man sich beim Lernen immer wieder selbst testet, behält man die Informationen besser.  ;Also erstmal vergisst man über die Zeit Informationen, heißt nach 2 Wochen weiß man weniger als nach 5 Minuten. <br>Durch mehrfaches Lesen (bei der zweiten Lernmethode) behält man mehr Informationen. ;;59;1;2;4;3;106;8;57;43;193;414;;02.12.2021 07:55;1;0;7;7;10;3;Jan 55;30
216;;;base;interview;02.12.2021 08:47;60;3;20;0;18;0;80;3;50;0;40;0;23;;1;7;;;;2;;Ich habe die beschriebene Situation mit meinen Lernmethoden verglichen und eruiert, welche Lernmethoden für mich bisher am zielführendsten waren. Ich habe versucht einzuschätzen, bei welchem Vorgehen der größte Informationsverlust herrscht und damit auch das Erinnern schwieriger fällt.;;60;1;2;28;33;220;14;101;70;155;593;;02.12.2021 08:57;1;0;7;7;19;9;0.66;0
217;;;base;interview;02.12.2021 09:24;40;90;30;90;10;70;70;80;100;100;50;80;23;10;1;8;;;;2;;Ich habe die Lernmethoden mit meinen eigenen Lernmethoden verglichen und überlegt inwiefern ich damit erfolgreich wäre.;;61;2;1;138;88;732;7;70;111;82;420;;02.12.2021 09:44;1;0;7;7;14;3;0.75;9
220;;;base;interview;02.12.2021 10:10;60;50;30;70;20;70;60;75;50;70;40;50;22;5;2;4;;;;2;;Habe erst mit meiner Lernmethode verglichen und dann versucht einzuschätzen.<br>Der Anteil, den ich nach längerer Zeit wiedergeben könnte muss auch geringer sein als davor.;Honigdachs <3 Honiganzeiger<br>Still a better Lovestory than Twighlight;62;1;2;27;8;232;16;892;177;576;673;;02.12.2021 10:42;1;0;7;7;10;2;0.43;0
223;;;base;interview;02.12.2021 10:16;80;90;90;89;97;87;70;90;85;85;95;85;24;5;1;4;;8;Astronomie;2;;Ich habe mich daran orientiert wie ich normalerweise lerne und wie ich mich aus Erfahrung am besten daran erinnern kann;"Ich bin davon ausgegangen dass der ""Lernstoff"" sich lediglich auf den kurzen Text bezieht. Mit wachsendem Umfang steigt der Aufwand meiner Meinung nach exponentiell sich die Inhalte zu merken (in Prozent). ";63;2;1;6;5;154;12;80;129;155;541;;02.12.2021 10:25;1;0;7;7;5;0;1;6
224;;;base;interview;02.12.2021 10:17;60;70;30;80;20;70;30;75;25;80;15;80;25;13;1;2;;;;2;;"Ich weiß nicht, ob das in meiner Prozentangabe nachvollziehbar ist, da ich nicht mehr zurückblättern kann, aber voraussichtlich ist die zweite Methode effektiver, da die Informationen von Beginn an aktiver verarbeitet werden, um sie im Gedächtnis zu speichern. Diese aktivere Auseinandersetzung mit dem ""Einprägen"" führt auch dazu, dass das Wissen stärker vernetzt wird, sodass die Gedächtnisleistung eigentlich besser sein sollte, aber im Endeffekt kann ich nicht einschätzen, wie die Unterschiede nach ein oder zwei Wochen aussehen (immerhin gibt es vermutlich in beiden Fällen einen hohen Vergessensprozess, da nicht darüber gesprochen wurde, ob im Laufe der Zeit der Stoff noch einmal reaktiviert wurde. ";"Meine Frage wäre in diesem Fall, inwiefern die Prozentzahl des Gelernten gemeint ist? Natürlich kann nach einigen Wiederholungen (egal, ob es nun ""produktive"" oder ""rezeptive"" Verarbeitung des neuen Stoffes) ein Teil des Inhalts wiedergegeben werden. Meine Frage ist an dieser Stelle bloß, ob eine 100%-iger Lerneffekt in dieser Umfrage bedeutet, dass der Text wörtlich mit jeder Zahl wiedergeben werden kann, oder ob das ""Lernziel"" ein anderes ist, sodass die Prozentzahl auch anders eingeschätzt werden muss.";64;2;1;7;20;172;18;169;131;631;629;;02.12.2021 10:36;1;0;7;7;10;2;0.63;4
