"CASE";"SERIAL";"REF";"QUESTNNR";"MODE";"STARTED";"TE01_01";"TE02_01";"TE03_01";"TE04_01";"TE05_01";"TE06_01";"NO01_01";"NO02_01";"NO03_01";"NO04_01";"NO05_01";"NO06_01";"SD02_01";"SD21_01";"SD01";"SD14";"SD14_11";"SD20";"SD20_08";"V101";"V102_01";"V103_01";"V104_01";"ZG01_CP";"ZG01x01";"ZG01x02";"TIME001";"TIME002";"TIME003";"TIME004";"TIME005";"TIME006";"TIME007";"TIME_SUM";"MAILSENT";"LASTDATA";"FINISHED";"Q_VIEWER";"LASTPAGE";"MAXPAGE";"MISSING";"MISSREL";"TIME_RSI";"DEG_TIME"
13;;;"base";"interview";2022-06-08 22:38:08;70;75;65;70;65;70;30;65;70;40;80;20;21;4;2;5;;;;2;;;;5;2;1;1;2;17;3;53;107;48;231;;2022-06-08 22:41:59;1;0;7;7;19;8;2.22;150
17;;;"base";"interview";2022-06-09 14:38:08;85;80;60;70;50;70;85;80;65;70;60;65;24;10;2;2;;;;2;;"Ich habe an meine Lernerfahrubgen angeknüpft und überlegt, wie gut ich Sachen behalte wenn ich sie lese und aufschreibe.";;8;1;2;2;2;1;6;50;48;63;172;;2022-06-09 14:41:00;1;0;7;7;14;4;2.08;136
19;;;"base";"interview";2022-06-09 17:37:20;60;70;30;70;30;70;80;70;50;70;50;70;29;14;2;6;;4;;2;;"Habe die Methoden verglichen auch mit eigener Lernerfahrung, und drüber mein Urteil gebildet.";;9;1;2;3;2;22;5;69;43;84;228;;2022-06-09 17:41:08;1;0;7;7;10;1;2.04;77
21;;;"base";"interview";2022-06-10 10:54:45;40;60;25;85;15;30;60;45;15;85;5;95;26;6;1;10;;6;;2;;;;10;2;1;2;5;177;17;57;79;36;373;;2022-06-10 11:00:58;1;0;7;7;14;6;1.44;54
22;;;"base";"interview";2022-06-10 13:25:28;60;70;70;70;75;70;80;85;75;80;87;90;30;6;1;8;;;;2;;"Vorstellung der Durchfühung - Vergleich mit eigenen Lernerfolgen und -methoden - Einschätzung der Wahrscheinlichkeit, dass was gelernt wurde ";;11;2;1;65;11;195;19;104;224;207;668;;2022-06-10 13:39:13;1;0;7;7;14;4;0.46;0
23;;;"base";"interview";2022-06-10 19:25:03;40;70;20;50;10;50;70;60;50;60;40;60;21;2;1;8;;1;;2;;"Ich habe aus meiner eigenen Schulerfahrung überlegt, wie viel ich mir unter Anwendung der jeweiligen Methode hätte merken können. Bei der Angabe, wie sicher ich mir bin, war ich eher vorsichtig, da Lerntechniken in meinen Augen etwas sehr individuelles sind.";;12;1;2;2;2;70;10;73;38;97;292;;2022-06-10 19:29:56;1;0;7;7;10;1;1.7;60
24;;;"base";"interview";2022-06-11 19:43:45;60;65;40;35;20;30;66;50;40;30;20;20;25;2;1;8;;;;2;;"Wie viel nach der jeweiligen Zeit hängen geblieben ist an Informationen ";;13;1;2;8;7;112;9;52;34;65;287;;2022-06-11 19:48:32;1;0;7;7;14;4;1.33;19
27;;;"base";"interview";2022-06-13 11:01:32;25;75;10;50;5;50;80;75;60;75;50;75;22;1;2;11;"Finanzmanagement ";8;"-";2;;"Ausschlaggebend war für mich der Informationsverlust durch die 5-minütige Pause bei der ersten Variante. Dadurch bleibt vieles nicht im Kopf sondern immer nur Bruchstücke. Bei der zweiten Variante schreibe ich alles was relevant ist direkt aufs Blatt.";"-";14;1;2;13;254;62;3;65;54;386;588;;2022-06-13 11:15:29;1;0;7;7;4;1;1.2;25
28;;;"base";"interview";2022-06-13 20:18:11;60;45;10;75;10;70;40;60;5;80;5;70;24;10;2;3;;;;2;;"Ich habe mir überlegt wie viele Details der Text enthielt und mich daran orientiert, wie viel ich selbst mir nach dem Zeitraum noch zu wissen zutraue. ";"Für die zweite Lernmethode habe ich auch den Vergleich zur ersten gezogen. <br>Generell ging ich aufgrund der Fragen davon aus, dass die selbe Person erst nach einer und dann nochmal nach zwei Wochen gefragt wird. ";15;1;2;4088;172;126;11;119;90;493;465;;2022-06-13 21:43:10;1;0;7;7;10;3;0.48;0
30;;;"base";"interview";2022-06-23 06:46:21;65;60;30;25;25;25;75;60;55;50;40;40;22;7;1;2;"L ";;;2;;"Überlegt, wie viel ich mir vermutlich merken könnte.";;16;1;2;32;6;153;17;50;39;113;410;;2022-06-23 06:53:11;1;0;7;7;14;4;0.94;8
