"CASE";"SERIAL";"REF";"QUESTNNR";"MODE";"STARTED";"TE01_01";"TE02_01";"TE03_01";"TE04_01";"TE05_01";"TE06_01";"NO01_01";"NO02_01";"NO03_01";"NO04_01";"NO05_01";"NO06_01";"SD02_01";"SD21_01";"SD01";"SD14";"SD14_08";"V101";"V102_01";"V103_01";"V104_01";"ZG01_CP";"ZG01x01";"ZG01x02";"TIME001";"TIME002";"TIME003";"TIME004";"TIME005";"TIME006";"TIME007";"TIME_SUM";"MAILSENT";"LASTDATA";"FINISHED";"Q_VIEWER";"LASTPAGE";"MAXPAGE";"MISSING";"MISSREL";"TIME_RSI";"DEG_TIME"
86;;;"base";"interview";2021-12-02 10:07:24;60;50;25;50;20;40;78;50;52;50;48;40;53;22;2;4;;2;;"Nach Gefühl, nach Erfahrung und Einschätzung";;27;1;2;5;32;211;20;234;148;298;764;;2021-12-02 10:23:12;1;0;7;7;10;2;0.68;7
101;;;"base";"interview";2021-12-06 12:55:44;80;5;60;4;50;3;100;8;80;8;75;7;47;15;2;4;;2;;;;29;1;2;209;6;114;14;63;70;41;318;;2021-12-06 13:04:21;1;0;7;7;15;6;1.19;19
109;;;"base";"interview";2021-12-06 14:36:47;70;50;40;70;30;70;50;80;30;50;20;80;45;18;1;4;;2;;;;30;2;1;12;3;246;17;52;154;44;528;;2021-12-06 14:45:35;1;0;7;7;15;6;1.26;22
110;;;"base";"interview";2021-12-06 14:41:47;60;30;65;30;70;30;50;30;60;30;65;30;40;12;1;4;;2;;"Habe mich versucht in die Aufgabenstellung hineinzuversetzen und dadurch eine Schätzung abzugeben. ";;31;2;1;6;5;112;12;61;115;127;438;;2021-12-06 14:49:05;1;0;7;7;10;2;1.13;9
114;;;"base";"interview";2021-12-06 17:14:39;40;10;30;10;10;10;60;10;25;10;10;10;31;2;2;5;;2;;;;33;2;1;152;4;39;8;37;699;80;258;;2021-12-06 17:31:38;1;0;7;7;15;6;1.41;34
116;;;"base";"interview";2021-12-06 17:25:33;50;50;10;50;0;100;50;50;10;50;0;100;30;4;1;8;"Berufskolleg";2;;" - Text selbst gelesen<br>- Schwierigkeit eingeschätzt<br>- Vergleich mit anderen Texten und dre Lernleistung der SuS";"Bitte eine Zurück-Funktion einfügen<br>Verdeutlichen, wo der Unterschied bei den Lernmethoden liegt (ich musste nochmal neu starten, weil mir der Unterschied nicht bewusst war)";35;2;1;3;3;5;3;12;12;143;181;;2021-12-06 17:28:34;1;0;7;7;5;0;2.51;198
118;;;"base";"interview";2021-12-06 17:43:04;20;40;30;40;25;40;40;40;20;40;18;40;30;5;2;5;;2;;"1. Gefühlte Einschätzung der Lernleistung nach bzw. während der ersten Lernrunde.<br><br>2. Berücksichtigung, dass Dinge vergessen werden.";;36;2;1;24;41;221;19;145;194;295;903;;2021-12-06 17:58:43;1;0;7;7;10;2;0.46;0
120;;;"base";"interview";2021-12-06 18:12:14;45;60;30;60;25;60;80;60;65;60;50;60;37;6;1;4;;2;;;;37;1;2;16;4;123;12;100;153;31;439;;2021-12-06 18:19:33;1;0;7;7;15;6;1.19;26
123;;;"base";"interview";2021-12-06 18:28:41;22;0;7;20;5;20;20;0;5;20;3;20;51;23;1;4;;2;;"Ich weiß, dass man von Lesen allein sich nicht viel behält und dass je länger etwas zurück liegt, man sich ohne Wiederholung nicht daran erinnert. Wenn etwas nicht ins Langzeitgedächtnis durch viele Wiederholungen geht, wird es bald vergessen. Dementsprechend habe ich einfach geschätzt. Da sich beim ersten Beispiel jedesmal der Text vorlag, musste sich die Schüler:inn weniger anstrengen und hat deshalb weniger behalten, auf längere Sicht wird das meiste aber wegen fehlender Wiederholung vergessen und am Anfang wird mehr vergessen.";"Ich bin der Überzeugung, wenn sie den Inhalt hätten erzählen müssen oder verbildlichen, hätten sie mehr davon behalten.";39;2;1;27;29;176;18;110;145;356;837;;2021-12-06 18:43:02;1;0;7;7;5;0;0.52;0
124;;;"base";"interview";2021-12-06 18:28:56;30;70;70;70;50;70;90;90;70;90;70;90;58;30;1;4;;2;;"Ich bin der Meinung, dass wenn man die wichtigen Punkte herausschreibt, sich wesentlich mehr merken kann, als bei nur Durchlesen. Man kann zwar dann mehr vergessen, aber es bleibt trotzdem mehr in Erinnerung. ";;38;2;1;10;6;104;39;226;302;200;491;;2021-12-06 18:43:43;1;0;7;7;10;2;0.66;1
131;;;"base";"interview";2021-12-06 19:15:11;50;70;40;50;40;50;80;80;60;70;40;70;40;15;1;4;;2;;"Intuition ";;42;1;2;23;5;124;16;88;75;68;399;;2021-12-06 19:21:50;1;0;7;7;10;2;1.02;7
140;;;"base";"interview";2021-12-07 09:09:49;35;3;30;4;25;4;60;5;50;5;45;5;39;12;2;2;;2;;"? zunächst eigene Beurteilung des Lernstoffes (Komplexität, Verständlichkeit, Umfang)<br>? Hineinversetzen in SuS / gedankliches Durchspielen der Situation<br>? Beurteiung vor dem Hintergrund eigener Unterrichtserfahrungen";;44;1;2;35;49;542;37;213;137;341;729;;2021-12-07 09:32:23;1;0;7;7;10;2;0.33;0
150;;;"base";"interview";2021-12-07 14:48:25;40;90;50;90;80;90;15;80;25;80;60;90;30;2;2;5;;2;;"Abgleich wie die eigenen Schüler diese Aufgabe meistern würden, kombiniert mit der eignen Erfahrung und Einschätzung über den Lerneffekt.<br>Vorallem fehlt die Sinnhaftigkeit warum die Schüler diese Aufgabe meistern sollten. Gibt es einen konkreten Sinn, Ziel ist der Lerneffekt großer als wenn es komplett random ist ";;47;2;1;78;213;108;8;37;70;240;478;;2021-12-07 15:00:59;1;0;7;7;10;2;0.97;15
155;;;"base";"interview";2021-12-07 19:27:34;70;60;50;50;30;40;40;70;40;50;30;70;37;12;1;4;;2;;"intuitiv";;49;2;1;3;2;64;19;99;112;63;362;;2021-12-07 19:33:36;1;0;7;7;10;2;1.67;41
