"","CASE","TE01_01","TE02_01","TE03_01","TE04_01","TE05_01","TE06_01","NO01_01","NO02_01","NO03_01","NO04_01","NO05_01","NO06_01","expertise"
"1",101,60,50,25,50,20,40,78,50,52,50,48,40,1
"2",102,80,5,60,4,50,3,100,8,80,8,75,7,1
"3",103,70,50,40,70,30,70,50,80,30,50,20,80,1
"4",104,60,30,65,30,70,30,50,30,60,30,65,30,1
"5",105,40,10,30,10,10,10,60,10,25,10,10,10,1
"6",106,50,50,10,50,0,100,50,50,10,50,0,100,1
"7",107,20,40,30,40,25,40,40,40,20,40,18,40,1
"8",108,45,60,30,60,25,60,80,60,65,60,50,60,1
"9",109,22,0,7,20,5,20,20,0,5,20,3,20,1
"10",110,30,70,70,70,50,70,90,90,70,90,70,90,1
"11",111,50,70,40,50,40,50,80,80,60,70,40,70,1
"12",112,35,3,30,4,25,4,60,5,50,5,45,5,1
"13",113,40,90,50,90,80,90,15,80,25,80,60,90,1
"14",114,70,60,50,50,30,40,40,70,40,50,30,70,1
"15",115,65,40,25,80,10,90,50,20,20,60,5,70,1
"16",116,30,70,25,80,20,80,40,70,30,70,30,70,1
"17",117,80,80,95,90,95,90,80,80,90,70,95,68,1
"18",118,50,35,75,65,85,75,50,45,75,65,85,75,1
"19",119,50,70,50,90,70,90,69,90,90,90,80,80,1
"20",120,80,50,40,50,30,50,70,50,35,50,25,50,1
"21",121,60,70,25,50,15,50,75,70,50,70,30,70,1
"22",122,40,20,20,20,15,20,70,20,50,20,30,20,1
"23",123,80,80,25,80,20,80,70,80,25,80,25,80,1
"24",124,40,75,25,60,15,60,50,75,30,60,20,60,1
"25",125,30,50,15,50,7,50,40,50,25,50,12,50,1
"26",126,70,70,30,30,15,15,70,70,30,30,15,15,1
"27",127,70,70,60,70,50,50,70,80,60,80,40,60,1
"28",128,50,75,30,95,20,99,70,90,50,95,30,95,1
"29",129,90,60,50,60,30,60,80,60,40,60,20,60,1
"30",130,40,90,30,90,20,90,50,80,40,90,40,80,1
"31",131,70,80,50,60,50,60,80,70,60,60,60,60,1
"32",132,80,50,50,50,40,50,98,90,80,80,75,80,1
"33",133,50,50,25,50,25,50,50,50,25,50,20,50,1
"34",134,50,50,20,50,10,50,50,50,20,50,10,50,1
"35",135,50,80,20,50,20,50,80,80,70,70,70,70,1
"36",136,65,70,45,70,30,60,70,75,45,75,30,75,1
"37",137,30,50,10,50,5,50,50,50,30,50,20,30,1
"38",138,20,90,60,80,70,80,45,80,65,80,75,80,1
"39",139,40,50,20,70,10,70,70,70,50,60,30,70,1
"40",140,80,60,50,65,40,60,75,60,40,70,30,70,1
"42",141,80,90,50,80,40,80,99,80,80,80,60,80,1
"43",142,85,70,65,60,45,60,70,80,40,70,30,70,1
"44",143,60,70,80,70,80,70,60,70,80,70,80,70,1
"45",144,70,70,20,80,5,80,70,70,50,30,40,30,1
"46",145,15,50,20,50,50,50,15,50,20,30,50,50,1
"47",146,95,30,60,30,40,30,95,30,60,30,50,30,1
"110",1,70,75,65,70,65,70,30,65,70,40,80,20,0
"210",2,85,80,60,70,50,70,85,80,65,70,60,65,0
"310",3,60,70,30,70,30,70,80,70,50,70,50,70,0
"48",4,40,60,25,85,15,30,60,45,15,85,5,95,0
"51",5,60,70,70,70,75,70,80,85,75,80,87,90,0
"61",6,40,70,20,50,10,50,70,60,50,60,40,60,0
"71",7,60,65,40,35,20,30,66,50,40,30,20,20,0
"81",8,25,75,10,50,5,50,80,75,60,75,50,75,0
"91",9,60,45,10,75,10,70,40,60,5,80,5,70,0
"101",10,65,60,30,25,25,25,75,60,55,50,40,40,0
"111",11,25,90,10,90,5,90,15,90,5,90,1,90,0
"121",12,70,90,50,80,50,50,60,50,20,70,10,70,0
"131",13,40,30,20,70,15,30,40,30,30,30,20,40,0
"141",14,30,10,10,10,5,10,50,10,30,10,20,10,0
"151",15,60,80,20,90,10,90,80,70,50,90,20,90,0
"161",16,67,89,58,78,40,90,70,90,50,80,30,90,0
"171",17,50,60,20,60,10,50,15,60,40,50,50,40,0
"181",18,40,5,10,5,3,1,70,5,40,5,10,2,0
"191",19,80,90,50,80,34,87,90,100,65,80,34,70,0
"201",20,80,95,65,80,20,73,90,95,75,85,40,70,0
"211",21,95,60,70,50,30,40,95,70,60,40,10,40,0
"221",22,33,50,70,50,90,50,20,50,90,50,100,50,0
"231",23,50,50,10,50,5,50,80,70,20,60,10,60,0
